Data;NrParagonu;scalone
2019-02-01;PA 13/S08/01/2019;3_CHPAK :  SPODNIE
2019-02-01;PA 13/S08/01/2019;3_CHPAK :  LONG SLEEVE
2019-02-01;PA 15/S08/01/2019;2_KOBIETA :  SPODNIE
2019-02-01;PA 15/S08/01/2019;2_KOBIETA :  BLUZA
2019-02-01;PA 16/S08/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 16/S08/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 16/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 16/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 16/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 17/S08/01/2019;5_AKCESORIA :  PLECAK
2019-02-01;PA 17/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 17/S08/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 17/S08/01/2019;1_M石CZYZNA :  KLAPKI
2019-02-01;PA 19/S08/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 19/S08/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 19/S08/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 2/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 2/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 20/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 20/S08/01/2019;5_AKCESORIA :  TORBA
2019-02-01;PA 21/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 21/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 22/S08/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 22/S08/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 22/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 24/S08/01/2019;1_M石CZYZNA :  BLUZA
2019-02-01;PA 24/S08/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 24/S08/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 28/S08/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 28/S08/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
2019-02-01;PA 3/S08/01/2019;1_M石CZYZNA :  STR覬 KIELOWY
2019-02-01;PA 3/S08/01/2019;1_M石CZYZNA :  BUTY RUN&TRAIN
2019-02-01;PA 33/S08/01/2019;1_M石CZYZNA :  SPODNIE
2019-02-01;PA 33/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 33/S08/01/2019;3_CHPAK :  KURTKA
2019-02-01;PA 33/S08/01/2019;3_CHPAK :  BLUZA
2019-02-01;PA 35/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 35/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 35/S08/01/2019;1_M石CZYZNA :  T-SHIRT
2019-02-01;PA 35/S08/01/2019;6_BIELIZNA :  STOPKI
2019-02-01;PA 35/S08/01/2019;6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)
2019-02-01;PA 4/S08/01/2019;2_KOBIETA :  T-SHIRT
2019-02-01;PA 4/S08/01/2019;5_AKCESORIA :  AKCESORIA ZIMOWE
